0.194444444,0.666666667,0.06779661,0.041666667---------->1
0.305555556,0.791666667,0.118644068,0.125---------->1
0.305555556,0.791666667,0.050847458,0.125---------->1
0.222222222,0.75,0.084745763,0.083333333---------->1
0.083333333,0.666666667,0,0.041666667---------->1
0.194444444,0.416666667,0.101694915,0.041666667---------->1
0.166666667,0.458333333,0.084745763,0---------->1
0.166666667,0.458333333,0.084745763,0---------->1
0.222222222,0.583333333,0.084745763,0.041666667---------->1
0.194444444,0.625,0.101694915,0.208333333---------->1
0.388888889,0.333333333,0.593220339,0.5---------->2
0.166666667,0.166666667,0.389830508,0.375---------->2
0.527777778,0.083333333,0.593220339,0.583333333---------->2
0.361111111,0.208333333,0.491525424,0.416666667---------->2
0.388888889,0.25,0.423728814,0.375---------->2
0.333333333,0.166666667,0.474576271,0.416666667---------->2
0.388888889,0.333333333,0.525423729,0.5---------->2
0.777777778,0.416666667,0.830508475,0.833333333---------->3
0.916666667,0.416666667,0.949152542,0.833333333---------->3
0.583333333,0.291666667,0.728813559,0.75---------->3
0.583333333,0.5,0.728813559,0.916666667---------->3
0.944444444,0.75,0.966101695,0.875---------->3
0.944444444,0.25,1,0.916666667---------->3
0.361111111,0.333333333,0.661016949,0.791666667---------->3
0.555555556,0.291666667,0.661016949,0.708333333---------->3
0.5,0.416666667,0.661016949,0.708333333---------->3
0.722222222,0.458333333,0.694915254,0.916666667---------->3
0.416666667,0.291666667,0.694915254,0.75---------->3
0.694444444,0.5,0.830508475,0.916666667---------->3
0.666666667,0.541666667,0.796610169,1---------->3
